language,filename,blank,comment,code,"github.com/AlDanial/cloc v 1.92  T=0.26 s (646.9 files/s, 184283.4 lines/s)"
Bourne Shell,cobcurses/src/configure,943,894,6672
C,cobcurses/src/lib/cobcurses.c,285,448,1879
COBOL,cobcurses/src/lib/libcobcurses_codegen.cob,305,91,1548
COBOL,cobcurses/src/lib/libcobcurses.cob,332,675,1407
COBOL,cobcurses/src/sdesign/sd002040.cob,119,18,964
COBOL,cobcurses/src/test/test004.cob,141,76,862
m4,cobcurses/src/aclocal.m4,89,14,776
C,cobcurses/src/lib/cc_menu.c,176,137,752
COBOL,cobcurses/src/sdesign/sd002010.cob,96,7,718
COBOL,cobcurses/src/utils/sdload.cob,114,17,646
COBOL,cobcurses/src/utils/init-cobc.cob,85,98,617
C,cobcurses/src/lib/term_curses.c,154,130,615
C,cobcurses/src/lib/term_curses_conv.c,27,36,604
COBOL,cobcurses/src/sdesign/sd002050.cob,103,13,579
C,cobcurses/src/lib/csvsupport.c,111,117,543
COBOL,cobcurses/src/utils/sdbackup.cob,71,4,530
C/C++ Header,cobcurses/src/cobcurses.h,95,57,529
COBOL,cobcurses/src/sdesign/sd002080.cob,83,8,526
C,cobcurses/src/lib/term_curses_menu.c,114,109,517
m4,cobcurses/src/configure.ac,77,0,500
C,cobcurses/src/lib/assoc_cob.c,122,111,484
COBOL,cobcurses/src/sdesign/sd002085.cob,68,89,471
COBOL,cobcurses/src/sdesign/sd002090.cob,74,11,453
COBOL,cobcurses/src/sdesign/sd002060.cob,75,13,436
COBOL,cobcurses/src/copybk/COBCURSQ.cbl,87,509,371
Bourne Shell,cobcurses/src/depcomp,51,162,371
COBOL,cobcurses/src/test/template_screen.cob,63,109,363
Bourne Shell,cobcurses/src/install-sh,64,102,341
C,cobcurses/src/lib/assoc.c,83,104,340
C/C++ Header,cobcurses/src/lib/terminal.h,33,55,332
COBOL,cobcurses/src/sdesign/sd002030.cob,46,10,318
COBOL,cobcurses/src/utils/sdgenerate.cob,37,10,315
COBOL,cobcurses/src/lib/assoc_api.cob,133,112,297
make,cobcurses/src/edesign/Makefile,57,36,281
Bourne Shell,cobcurses/src/missing,39,52,276
C,cobcurses/src/lib/dynstr.c,62,85,275
C,cobcurses/src/lib/units.c,51,101,275
C,cobcurses/src/lib/genkeys.c,13,13,238
COBOL,cobcurses/src/copybk/COBCURSG.cbl,17,10,224
COBOL,cobcurses/src/sdesign/sd002070.cob,57,13,218
COBOL,cobcurses/src/copybk/COBCKEYS.cbl,1,113,215
C,cobcurses/src/lib/misc.c,50,75,203
COBOL,cobcurses/src/lib/libcobcursex.cob,63,62,196
COBOL,cobcurses/src/test/test006.cob,32,9,195
COBOL,cobcurses/src/test/test007.cob,32,9,194
COBOL,cobcurses/src/copybk/GRPHMENU.cbl,2,14,192
C,cobcurses/src/lib/cobmenu.c,41,18,179
C,cobcurses/src/lib/fcomp2.c,27,95,175
COBOL,cobcurses/src/sdesign/sd002035.cob,24,25,161
COBOL,cobcurses/src/test/test011.cob,18,7,152
COBOL,cobcurses/src/test/test012.cob,17,8,152
C,cobcurses/src/lib/codegen.c,15,19,142
COBOL,cobcurses/src/test/test008.cob,24,9,142
COBOL,cobcurses/src/test/test009.cob,24,9,142
C,cobcurses/src/lib/initcobc.c,23,21,133
make,cobcurses/src/lib/Makefile.am,38,6,128
COBOL,cobcurses/src/copybk/COBCURSL.cbl,11,21,124
C/C++ Header,cobcurses/src/lib/cc_menu.h,26,31,123
C,cobcurses/src/utils/sdmenu.c,17,13,123
C,cobcurses/src/lib/enumber.c,20,45,121
COBOL,cobcurses/src/test/test002.cob,18,62,106
C/C++ Header,cobcurses/src/lib/assoc.h,23,6,103
COBOL,cobcurses/src/test/test010.cob,15,3,103
C,cobcurses/src/lib/tmenu.c,17,7,102
COBOL,cobcurses/src/test/test001.cob,25,55,99
COBOL,cobcurses/src/copybk/BKU-RECD.cbl,1,7,98
COBOL,cobcurses/src/sdesign/sd002033.cob,18,9,98
C,cobcurses/src/lib/pathname.c,18,34,94
COBOL,cobcurses/src/lib/cobcurses_menu_sd_mrefs.cob,19,24,92
COBOL,cobcurses/src/test/test005.cob,20,61,91
C,cobcurses/src/lib/environ.c,19,49,90
C,cobcurses/src/lib/expon.c,14,11,89
COBOL,cobcurses/src/test/test003.cob,18,50,85
COBOL,cobcurses/src/lib/cobcurses_menu_sd_menu_items.cob,16,24,83
COBOL,cobcurses/src/lib/cobcurses_menu_sd_states.cob,15,24,83
COBOL,cobcurses/src/lib/cobcurses_menu_sd_fields.cob,16,24,78
COBOL,cobcurses/src/edesign/ed000010.cob,13,14,77
COBOL,cobcurses/src/utils/unloadtm.cob,21,0,72
make,cobcurses/src/sdesign/Makefile.am,25,6,71
C,cobcurses/src/lib/eunits.c,15,10,70
make,cobcurses/src/Makefile.am,9,2,68
COBOL,cobcurses/src/lib/cobcurses_sci_notation_comp_1.cob,11,29,68
COBOL,cobcurses/src/lib/cobcurses_sci_notation_comp_2.cob,11,29,68
COBOL,cobcurses/src/lib/cobcurses_format_comp2.cob,10,5,67
COBOL,cobcurses/src/lib/cobcurses_menu_sd_menus.cob,14,23,67
make,cobcurses/src/test/Makefile.am,31,6,67
COBOL,cobcurses/src/utils/loadtm.cob,20,0,66
COBOL,cobcurses/src/lib/cobcurses_menu_sd_charsets.cob,14,23,65
COBOL,cobcurses/src/lib/cobcurses_menu_sd_screens.cob,14,23,65
C,cobcurses/src/lib/cobtrace.c,14,12,65
CSV,cobcurses/src/test/test005B.csv,0,0,64
COBOL,cobcurses/src/copybk/COBCURSX.cbl,12,7,61
COBOL,cobcurses/src/sdesign/sd002020.cob,15,5,59
C,cobcurses/src/lib/testunits.c,11,21,58
COBOL,cobcurses/src/test/3270test.cob,11,28,57
COBOL,cobcurses/src/lib/cobcurses_edit_comp1.cob,11,0,56
COBOL,cobcurses/src/lib/cobcurses_edit_comp2.cob,11,0,56
COBOL,cobcurses/src/utils/sdgenfiles.cob,15,0,56
make,cobcurses/src/utils/Makefile.am,25,6,55
C,cobcurses/src/lib/terminal.c,14,21,54
COBOL,cobcurses/src/lib/cobcurses_ecvt_comp_1.cob,11,31,52
COBOL,cobcurses/src/lib/cobcurses_ecvt_comp_2.cob,11,31,52
C/C++ Header,cobcurses/src/lib/term_curses_menu.h,7,12,51
C/C++ Header,cobcurses/src/lib/term_curses.h,10,9,39
C/C++ Header,cobcurses/src/lib/units.h,6,5,39
COBOL,cobcurses/src/copybk/COBCEXTRA.cbl,1,7,36
