#,id,char_pos,line_no,message,offending_token,status,program_id,parse_mode,snippet
1,876,0,1,"mismatched input 'attribute' expecting {ID, IDENTIFICATION}",attribute,PARSER_ERROR,876,FULL,"    1 | attribute System.CodeDom.Compiler.GeneratedCode(""System.Resou
    2 |     attribute System.Diagnostics.DebuggerNonUserCode
    3 |     attribute System.Runtime.CompilerServices.CompilerGenerated
"
2,877,0,1,"mismatched input 'inherits' expecting {ID, IDENTIFICATION}",inherits,PARSER_ERROR,877,FULL,"    1 | inherits type System.Windows.Application.
    2 | working-storage section.
    3 | method-id OnExit protected override.
"
3,878,0,1,"mismatched input 'inherits' expecting {ID, IDENTIFICATION}",inherits,PARSER_ERROR,878,FULL,"    1 | inherits type System.Windows.Window.
    2 | working-storage section. *> section of code that holds class scop
    3 |     01 ws-lastInput decimal value is 0.
"
4,879,0,1,"mismatched input 'inherits' expecting {ID, IDENTIFICATION}",inherits,PARSER_ERROR,879,FULL,"    1 | inherits type System.Configuration.ApplicationSettingsB
    2 |           attribute System.Runtime.CompilerServices.CompilerGener
    3 |           attribute System.CodeDom.Compiler.GeneratedCode(""Micros
"
5,880,9,89,"extraneous input 'section' expecting {ACCEPT, ADD, ALTER, CALL, CANCEL, CLOSE, COMPUTE, CONTINUE, DELETE, DISABLE, DISPLAY, DIVIDE, ENABLE, ENTRY, EVALUATE, EXHIBIT, EXIT, GENERATE, GOBACK, GO, IF, INITIALIZE, INITIATE, INSPECT, MERGE, MOVE, MULTIPLY, OPEN, PERFORM, PURGE, READ, RECEIVE, RELEASE, RETURN, REWRITE, SEARCH, SEND, SET, SORT, START, STOP, STRING, SUBTRACT, TERMINATE, UNSTRING, WRITE, DOT_FS, EXECCICSLINE, EXECSQLIMSLINE, EXECSQLLINE}",section,PARSER_ERROR,880,FULL,"   87 |         end-if
   88 |     end-if
   89 |     exit section.
   90 | end program view-guest-book.
"
6,881,31,58,"extraneous input '.' expecting {ACCEPT, ADD, ALTER, CALL, CANCEL, CLOSE, COMPUTE, CONTINUE, DELETE, DISABLE, DISPLAY, DIVIDE, ENABLE, ENTRY, EVALUATE, EXHIBIT, EXIT, GENERATE, GOBACK, GO, IF, INITIALIZE, INITIATE, INSPECT, MERGE, MOVE, MULTIPLY, OPEN, PERFORM, PURGE, READ, RECEIVE, RELEASE, RETURN, REWRITE, SEARCH, SEND, SET, SORT, START, STOP, STRING, SUBTRACT, TERMINATE, UNSTRING, WRITE, DOT_FS, EXECCICSLINE, EXECSQLIMSLINE, EXECSQLLINE}",.,PARSER_ERROR,881,FULL,"   56 |     end-display
   57 |     goback.
   58 |     accept ws-http-value-string.end-accept
   59 |     inspect ws-http-value-string converting ""<>&"" to spaces
   60 |     if IS-POST then
"
7,882,,,Skipped COBOL function unit,,SKIPPED_FUNCTION_UNIT,882,FULL,"    1 | identification division.
    2 | function-id. get-param-value.
    3 |        PROGRAM-ID. DUMMY.
    4 | environment division.
    5 | configuration section.
    6 | data division.
"
8,883,18,57,"extraneous input 'blank' expecting {ACCEPT, ADD, ALTER, CALL, CANCEL, CLOSE, COMPUTE, CONTINUE, DELETE, DISABLE, DISPLAY, DIVIDE, ENABLE, ENTRY, EVALUATE, EXHIBIT, EXIT, GENERATE, GOBACK, GO, IF, INITIALIZE, INITIATE, INSPECT, MERGE, MOVE, MULTIPLY, OPEN, PERFORM, PURGE, READ, RECEIVE, RELEASE, RETURN, REWRITE, SEARCH, SEND, SET, SORT, START, STOP, STRING, SUBTRACT, TERMINATE, UNSTRING, WRITE, DOT_FS, EXECCICSLINE, EXECSQLIMSLINE, EXECSQLLINE}",blank,PARSER_ERROR,883,FULL,"   55 |             + COB-ALLOW-MOUSE-MOVE
   56 |
   57 |     display space blank screen
   58 |     perform generate-test-data
   59 |     perform load-item-list.
"
9,884,31,36,no viable alternative at input 'l-tile-effect-id-src is zeros',zeros,PARSER_ERROR,884,FULL,"   34 | main-procedure.
   35 |     move zeros to l-tile-effect-return-code
   36 |     if l-tile-effect-id-src is zeros then
   37 |         goback
   38 |     end-if
"
10,885,8,57,"extraneous input 'end-if' expecting {ABORT, ACCEPT, ADD, ADDRESS, ALTER, AS, ASCII, ASSOCIATED_DATA, ASSOCIATED_DATA_LENGTH, ATTRIBUTE, AUTO, AUTO_SKIP, BACKGROUND_COLOR, BACKGROUND_COLOUR, BEEP, BELL, BINARY, BIT, BLINK, BOUNDS, CALL, CANCEL, CAPABLE, CCSVERSION, CHANGED, CHANNEL, CLOSE, CLOSE_DISPOSITION, COBOL, COMMITMENT, COMPUTE, CONTINUE, CONTROL_POINT, CONVENTION, CRUNCH, CURSOR, DATE, DAY, DAY_OF_WEEK, DEBUG_CONTENTS, DEBUG_ITEM, DEBUG_LINE, DEBUG_NAME, DEBUG_SUB_1, DEBUG_SUB_2, DEBUG_SUB_3, DEFAULT, DEFAULT_DISPLAY, DEFINITION, DELETE, DFHRESP, DFHVALUE, DISABLE, DISK, DISPLAY, DIVIDE, DONTCARE, DOUBLE, EBCDIC, EMPTY_CHECK, ENABLE, END_PERFORM, ENTER, ENTRY, ENTRY_PROCEDURE, ERASE, EOL, EOS, ESCAPE, EVALUATE, EVENT, EXCLUSIVE, EXHIBIT, EXIT, EXPORT, EXTENDED, FOREGROUND_COLOR, FOREGROUND_COLOUR, FULL, FUNCTION, FUNCTIONNAME, FUNCTION_POINTER, GENERATE, GOBACK, GO, GRID, HIGHLIGHT, IF, IMPLICIT, IMPORT, INITIALIZE, INITIATE, INSPECT, INTEGER, KEPT, KEYBOARD, LANGUAGE, LB, LD, LEFTLINE, LENGTH, LENGTH_CHECK, LIBACCESS, LIBPARAMETER, LIBRARY, LINAGE_COUNTER, LINE_COUNTER, LIST, LOCAL, LONG_DATE, LONG_TIME, LOWER, LOWLIGHT, MERGE, MMDDYYYY, MOVE, MULTIPLY, NAMED, NATIONAL, NATIONAL_EDITED, NETWORK, NO_ECHO, NUMERIC_DATE, NUMERIC_TIME, ODT, OPEN, ORDERLY, OVERLINE, OWN, PAGE_COUNTER, PASSWORD, PERFORM, PORT, PRINTER, PRIVATE, PROCESS, PROGRAM, PROMPT, PURGE, READER, REMOTE, REAL, READ, RECEIVE, RECEIVED, RECURSIVE, REF, RELEASE, REMOVE, REQUIRED, REVERSE_VIDEO, RETURN, RETURN_CODE, REWRITE, SAVE, SEARCH, SECURE, SEND, SET, SHARED, SHAREDBYALL, SHAREDBYRUNUNIT, SHARING, SHIFT_IN, SHIFT_OUT, SHORT_DATE, SORT, SORT_CONTROL, SORT_CORE_SIZE, SORT_FILE_SIZE, SORT_MESSAGE, SORT_MODE_SIZE, SORT_RETURN, START, STOP, STRING, SUBTRACT, SYMBOL, TALLY, TASK, TERMINATE, TEST, THREAD, THREAD_LOCAL, TIME, TIMER, TODAYS_DATE, TODAYS_NAME, TRUNCATED, TYPEDEF, UNDERLINE, UNSTRING, UNTIL, VARYING, VIRTUAL, WAIT, WHEN_COMPILED, WITH, WRITE, YEAR, YYYYMMDD, YYYYDDD, ZERO_FILL, '66', '77', '88', INTEGERLITERAL, IDENTIFIER, EXECCICSLINE, EXECSQLIMSLINE, EXECSQLLINE}",end-if,PARSER_ERROR,885,FULL,"   55 |             move ws-counter-1 to ls-found-idx
   56 |             exit perform
   57 |         end-if
   58 |     end-perform
   59 |     if ls-teleport-is-found then
"
11,886,,,OK,,VALID,886,FULL,
12,887,9,68,"extraneous input 'paragraph' expecting {ACCEPT, ADD, ALTER, CALL, CANCEL, CLOSE, COMPUTE, CONTINUE, DELETE, DISABLE, DISPLAY, DIVIDE, ENABLE, ENTRY, EVALUATE, EXHIBIT, EXIT, GENERATE, GOBACK, GO, IF, INITIALIZE, INITIATE, INSPECT, MERGE, MOVE, MULTIPLY, OPEN, PERFORM, PURGE, READ, RECEIVE, RELEASE, RETURN, REWRITE, SEARCH, SEND, SET, SORT, START, STOP, STRING, SUBTRACT, TERMINATE, UNSTRING, WRITE, DOT_FS, EXECCICSLINE, EXECSQLIMSLINE, EXECSQLLINE}",paragraph,PARSER_ERROR,887,FULL,"   66 |     move l-new-history-text to f-ah-log-text
   67 |     write f-ah-log-entry
   68 |     exit paragraph.
   69 | start-history-loggging.
   70 |     entry ""action-history-log-start""
"
13,888,16,34,"extraneous input 'background-color' expecting {ACCEPT, ADD, ALTER, CALL, CANCEL, CLOSE, COMPUTE, CONTINUE, DELETE, DISABLE, DISPLAY, DIVIDE, ENABLE, ENTRY, EVALUATE, EXHIBIT, EXIT, GENERATE, GOBACK, GO, IF, INITIALIZE, INITIATE, INSPECT, MERGE, MOVE, MULTIPLY, OPEN, PERFORM, PURGE, READ, RECEIVE, RELEASE, RETURN, REWRITE, SEARCH, SEND, SET, SORT, START, STOP, STRING, SUBTRACT, TERMINATE, UNSTRING, WRITE, DOT_FS, EXECCICSLINE, EXECSQLIMSLINE, EXECSQLLINE}",background-color,PARSER_ERROR,888,FULL,"   32 |                 l-char-to-draw
   33 |                 at l-scr-draw-pos
   34 |                 background-color l-tile-bg
   35 |                 foreground-color l-tile-fg
   36 |                 highlight
"
14,889,41,26,"missing {'66', '77', '88', INTEGERLITERAL} at 'ws-max-num-enemies'",ws-max-num-enemies,PARSER_ERROR,889,FULL,"   24 |     05  ls-map-pos-x             pic S999.
   25 | 01  ls-line-mask                 pic x value spaces.
   26 | 01  ls-enemy-draw-pos        occurs 0 to ws-max-num-enemies times
   27 |                              depending on l-cur-num-enemies.
   28 |     05  ls-enemy-draw-y          pic 99.
"
15,890,18,102,"extraneous input 'blank' expecting {ACCEPT, ADD, ALTER, CALL, CANCEL, CLOSE, COMPUTE, CONTINUE, DELETE, DISABLE, DISPLAY, DIVIDE, ENABLE, ENTRY, EVALUATE, EXHIBIT, EXIT, GENERATE, GOBACK, GO, IF, INITIALIZE, INITIATE, INSPECT, MERGE, MOVE, MULTIPLY, OPEN, PERFORM, PURGE, READ, RECEIVE, RELEASE, RETURN, REWRITE, SEARCH, SEND, SET, SORT, START, STOP, STRING, SUBTRACT, TERMINATE, UNSTRING, WRITE, DOT_FS, EXECCICSLINE, EXECSQLIMSLINE, EXECSQLLINE}",blank,PARSER_ERROR,890,FULL,"  100 |
  101 |     move zeros to ws-cursor-pos
  102 |     display space blank screen
  103 |     accept ws-temp-time from time
  104 |     move function random to ws-filler
"
16,891,,,OK,,VALID,891,FULL,
17,892,18,19,"extraneous input 'blank' expecting {ACCEPT, ADD, ALTER, CALL, CANCEL, CLOSE, COMPUTE, CONTINUE, DELETE, DISABLE, DISPLAY, DIVIDE, ENABLE, ENTRY, EVALUATE, EXHIBIT, EXIT, GENERATE, GOBACK, GO, IF, INITIALIZE, INITIATE, INSPECT, MERGE, MOVE, MULTIPLY, OPEN, PERFORM, PURGE, READ, RECEIVE, RELEASE, RETURN, REWRITE, SEARCH, SEND, SET, SORT, START, STOP, STRING, SUBTRACT, TERMINATE, UNSTRING, WRITE, DOT_FS, EXECCICSLINE, EXECSQLIMSLINE, EXECSQLLINE}",blank,PARSER_ERROR,892,FULL,"   17 |         l-temp-map-pos.
   18 | main-procedure.
   19 |     display space blank screen
   20 |     display ""Debug Info"" at 0115 with underline highlight
   21 |     display ""pscrpos: "" at 1960 l-player-scr-pos at 1970
